"slug","state","answer"
"p_of_boys_program","MO","57.3"
"p_of_girls_program","MO","42.7"
"p_of_children_programs_qualify_federal_asst","MO","40.1"
"avg_dolllars_spent_per_week_program","MO","100.5"
"num_households_surveyed_2014","MO","266"
"num_children_screened_2014","MO","1414"
"err_margin_households_surveyed_2014","MO","3.6"
"err_margin_children_screened_2014","MO","2.7"
"p_of_children_alone_2014_6_to_8","MO","37.4"
"p_of_children_alone_2014_9_to_12","MO","48.2"
"p_of_children_alone_2014_k_to_5","MO","3.3"
"p_of_children_in_programs_2014_6_to_8","MO","12.3"
"p_of_children_in_programs_2014_9_to_12","MO","10.1"
"p_of_children_in_programs_2014_k_to_5","MO","19.1"
"p_of_children_would_be_enrolled_2014_6_to_8","MO","47.6"
"p_of_children_would_be_enrolled_2014_9_to_12","MO","15.7"
"p_of_children_would_be_enrolled_2014_k_to_5","MO","34.3"
"is_top_ten","MO","FALSE"
"p_of_parents_working_parents_peace","MO","73.3"
"p_of_parents_working_parents_keep_jobs","MO","69.7"
"real_of_children_in_programs_2014","MO","137,964"
"real_of_children_would_be_enrolled_2014","MO","263,077"
"real_of_children_alone_2014","MO","248,530"
"intro_text","MO","After holding steady in 2004 and 2009, the percentage of Missouri children in an afterschool program increased from 12 percent to 14 percent in 2014. Additionally, parent satisfaction with the quality of care of their child’s afterschool program increased from 69 percent to 93 percent and satisfaction with the variety of activities increased from 65 percent to 85 percent.  "
"p_of_parents_agree_should_provide_snacks","MO","75"
"p_of_parents_programs_offers_snacks","MO","76"
"p_of_parents_satisfied_programs_snacks","MO","85"
"p_of_parents_satisfied_healthy_snacks","MO","84"
"p_of_parents_snacks_important","MO","63"
"p_of_parents_healthy_snacks_important","MO","66"
"p_of_parents_agree_should_provide_physical","MO","80"
"p_of_parents_programs_offers_physical","MO","88"
"p_of_parents_satisfied_programs_physical_amount","MO","81"
"p_of_parents_satisfied_programs_physical_variety","MO","84"
"p_of_parents_physical_important","MO","70"
"p_family_child_summer_2013","MO","31"
"p_family_child_summer_2008","MO","35"
"p_family_want_summer","MO","49"
"p_of_parents_agree_summer_academic","MO","78"
"avg_hr_per_day_summer","MO","5.86"
"avg_weeks_per_summer","MO","5.13"
"avg_dollars_per_week_summer","MO","187.5"
"p_of_parents_support_public_funding_summer","MO","83"
"p_of_parents_support_public_funding_summer_2009","MO","82"
"p_of_parents_report_stem_learning_opp","MO","74"
"p_of_parents_satisfied_stem_program","MO","64"
"p_of_parents_consider_stem_as_factor","MO","59"
"p_of_parents_agree_children_gain_stem","MO","65"
"p_of_parents_agree_should_provide_stem","MO","69"
"p_of_children_in_programs_2014","MT","12.7"
"p_of_children_in_programs_2009","MT","12"
"p_of_children_in_programs_2004","MT","14"
"avg_hr_per_week_in_programs","MT","6.29"
"avg_day_per_week_in_programs","MT","3.56"
"p_of_children_would_be_enrolled_2014","MT","38.1"
"p_of_children_would_be_enrolled_2009","MT","31"
"p_of_children_would_be_enrolled_2004","MT","26"
"p_of_children_alone_2014","MT","22.6"
"p_of_children_alone_2009","MT","40"
"p_of_children_alone_2004","MT","24"
"avg_hr_per_week_alone","MT","6.42"
"reason_1_not_enrolling_child","MT","Preference for alternative activities"
"reason_2_not_enrolling_child","MT","Lack of a safe way for child to get to and come home from afterschool programs"
"reason_3_not_enrolling_child","MT",""
"ans_1_type_activity","MT","Opportunities for physical activity"
"p_for_ans_1_type_activity","MT","92.5"
"ans_2_type_activity","MT","Beverages, snacks and/or meals"
"p_for_ans_2_type_activity","MT","66.3"
"ans_3_type_activity","MT","Opportunities for reading or writing"
"p_for_ans_3_type_activity","MT","64.4"
"ans_4_type_activity","MT","STEM learning opportunities"
"p_for_ans_4_type_activity","MT","62.6"
"ans_5_type_activity","MT","Homework assistance"
"p_for_ans_5_type_activity","MT","61.9"
"p_of_parents_programs_excite_abt_learning","MT","60.9"
"p_of_parents_programs_help_child_gain_skills","MT","69.8"
"p_of_parents_programs_reduce_risky","MT","75.3"
"p_of_parents_support_public_funding_2014","MT","85.7"
"p_of_parents_support_public_funding_2009","MT","79"
"p_of_parents_receive_public_funding","MT","7.1"
"p_of_parents_satisfied_child_program_2014","MT","93.2"
"p_of_parents_satisfied_child_program_2009","MT","62"
"p_of_parents_satisfied_child_program_2004","MT","80"
"p_of_parents_satisfied_program_safe","MT","87.3"
"p_of_parents_satisfied_program_quality_of_care","MT","76.8"
"ans_1_select_program","MT","My child enjoys the program"
"p_for_ans_1_select_program","MT","96.3"
"ans_2_select_program","MT","Location is convenient"
"p_for_ans_2_select_program","MT","86.7"
"ans_3_select_program","MT","Quality of care"
"p_for_ans_3_select_program","MT","83.9"
"ans_4_select_program","MT","Variety of activities"
"p_for_ans_4_select_program","MT","83.3"
"ans_5_select_program","MT","Is a safe haven"
"p_for_ans_5_select_program","MT","83"
"p_of_parents_program_public_school_bldg","MT","74.8"
"ans_1_program_provider","MT","Afterschool program run by a public school"
"ans_2_program_provider","MT","YMCA afterschool program"
"ans_3_program_provider","MT","Other"
"ans_4_program_provider","MT","Afterschool program run by city or town (including Parks and Recreation Department)"
"p_of_boys_program","MT","59.2"
"p_of_girls_program","MT","40.8"
"p_of_children_programs_qualify_federal_asst","MT","17.9"
"avg_dolllars_spent_per_week_program","MT","104.7"
"num_households_surveyed_2014","MT","211"
"num_children_screened_2014","MT","416"
"err_margin_households_surveyed_2014","MT","6.8"
"err_margin_children_screened_2014","MT","4.9"
"p_of_children_alone_2014_6_to_8","MT","23.7"
"p_of_children_alone_2014_9_to_12","MT","47.2"
"p_of_children_alone_2014_k_to_5","MT","6.2"
"p_of_children_in_programs_2014_6_to_8","MT","8.5"
"p_of_children_in_programs_2014_9_to_12","MT","12.5"
"p_of_children_in_programs_2014_k_to_5","MT","15.3"
"p_of_children_would_be_enrolled_2014_6_to_8","MT","37.8"
"p_of_children_would_be_enrolled_2014_9_to_12","MT","27.5"
"p_of_children_would_be_enrolled_2014_k_to_5","MT","42.8"
"is_top_ten","MT","FALSE"
"p_of_parents_working_parents_peace","MT","77.4"
"p_of_parents_working_parents_keep_jobs","MT","75"
"real_of_children_in_programs_2014","MT","18,814"
"real_of_children_would_be_enrolled_2014","MT","49,273"
"real_of_children_alone_2014","MT","33,479"
"intro_text","MT","The percentage of Montana children taking part in afterschool programs has changed very little over the past 10 years, hovering between 12 and 14 percent.  Currently at 13 percent, the participation rate in afterschool programs is well below the national average.  Although afterschool program participation has changed little, unmet demand for afterschool programs in Montana has grown from 26 percent in 2004 to 38 percent in 2014. "
"p_of_parents_agree_should_provide_snacks","MT","75"
"p_of_parents_programs_offers_snacks","MT","66"
"p_of_parents_satisfied_programs_snacks","MT","77"
"p_of_parents_satisfied_healthy_snacks","MT","72"
"p_of_parents_snacks_important","MT","64"
"p_of_parents_healthy_snacks_important","MT","62"
"p_of_parents_agree_should_provide_physical","MT","82"
"p_of_parents_programs_offers_physical","MT","93"
"p_of_parents_satisfied_programs_physical_amount","MT","91"
"p_of_parents_satisfied_programs_physical_variety","MT","85"
"p_of_parents_physical_important","MT","79"
"p_family_child_summer_2013","MT","28"
"p_family_child_summer_2008","MT","21"
"p_family_want_summer","MT","50"
"p_of_parents_agree_summer_academic","MT","82"
"avg_hr_per_day_summer","MT","4.98"
"avg_weeks_per_summer","MT","5.13"
"avg_dollars_per_week_summer","MT","380.6"
"p_of_parents_support_public_funding_summer","MT","84"
"p_of_parents_support_public_funding_summer_2009","MT","78"
"p_of_parents_report_stem_learning_opp","MT","63"
"p_of_parents_satisfied_stem_program","MT","47"
"p_of_parents_consider_stem_as_factor","MT","51"
"p_of_parents_agree_children_gain_stem","MT","67"
"p_of_parents_agree_should_provide_stem","MT","69"
"p_of_children_in_programs_2014","NE","17.8"
"p_of_children_in_programs_2009","NE","11"
"p_of_children_in_programs_2004","NE","9"
"avg_hr_per_week_in_programs","NE","9.64"
"avg_day_per_week_in_programs","NE","3.87"
"p_of_children_would_be_enrolled_2014","NE","31"
"p_of_children_would_be_enrolled_2009","NE","33"
"p_of_children_would_be_enrolled_2004","NE","21"
"p_of_children_alone_2014","NE","22.4"
"p_of_children_alone_2009","NE","36"
"p_of_children_alone_2004","NE","31"
"avg_hr_per_week_alone","NE","8.15"
"reason_1_not_enrolling_child","NE","Preference for alternative activities"
"reason_2_not_enrolling_child","NE","The afterschool programs are too expensive"
"reason_3_not_enrolling_child","NE",""
"ans_1_type_activity","NE","Opportunities for reading or writing"
"p_for_ans_1_type_activity","NE","75.8"
"ans_2_type_activity","NE","Homework assistance"
"p_for_ans_2_type_activity","NE","74"
"ans_3_type_activity","NE","Beverages, snacks and/or meals"
"p_for_ans_3_type_activity","NE","72.8"
"ans_4_type_activity","NE","Opportunities for physical activity"
"p_for_ans_4_type_activity","NE","72.1"
"ans_5_type_activity","NE","STEM learning opportunities"
"p_for_ans_5_type_activity","NE","63.8"
"p_of_parents_programs_excite_abt_learning","NE","56.3"
"p_of_parents_programs_help_child_gain_skills","NE","56.3"
"p_of_parents_programs_reduce_risky","NE","58.5"
"p_of_parents_support_public_funding_2014","NE","76.9"
"p_of_parents_support_public_funding_2009","NE","77"
"p_of_parents_receive_public_funding","NE","16.5"
"p_of_parents_satisfied_child_program_2014","NE","96.7"
"p_of_parents_satisfied_child_program_2009","NE","97"
"p_of_parents_satisfied_child_program_2004","NE","83"
"p_of_parents_satisfied_program_safe","NE","92.6"
"p_of_parents_satisfied_program_quality_of_care","NE","90.8"
"ans_1_select_program","NE","Location is convenient"
"p_for_ans_1_select_program","NE","87.4"
"ans_2_select_program","NE","Knowledgeable and well-trained staff"
"p_for_ans_2_select_program","NE","86.5"
"ans_3_select_program","NE","Quality of care"
"p_for_ans_3_select_program","NE","85.4"
"ans_4_select_program","NE","The hours meet parents' needs"
"p_for_ans_4_select_program","NE","83.3"
"ans_5_select_program","NE","Their child enjoys the afterschool program"
"p_for_ans_5_select_program","NE","81.3"
"p_of_parents_program_public_school_bldg","NE","50.1"
"ans_1_program_provider","NE","Afterschool program run by a public school"
"ans_2_program_provider","NE","Afterschool program run by private school"
"ans_3_program_provider","NE","4-H afterschool program"
"ans_4_program_provider","NE",""
"p_of_boys_program","NE","38.2"
"p_of_girls_program","NE","61.8"
"p_of_children_programs_qualify_federal_asst","NE","28.2"
"avg_dolllars_spent_per_week_program","NE","127.1"
"num_households_surveyed_2014","NE","200"
"num_children_screened_2014","NE","438"
"err_margin_households_surveyed_2014","NE","6.4"
"err_margin_children_screened_2014","NE","4.8"
"p_of_children_alone_2014_6_to_8","NE","20.3"
"p_of_children_alone_2014_9_to_12","NE","40.2"
"p_of_children_alone_2014_k_to_5","NE","4.7"
"p_of_children_in_programs_2014_6_to_8","NE","13.3"
"p_of_children_in_programs_2014_9_to_12","NE","9.7"
"p_of_children_in_programs_2014_k_to_5","NE","26.4"
"p_of_children_would_be_enrolled_2014_6_to_8","NE","38.9"
"p_of_children_would_be_enrolled_2014_9_to_12","NE","25.6"
"p_of_children_would_be_enrolled_2014_k_to_5","NE","30.1"
"is_top_ten","NE","TRUE"
"p_of_parents_working_parents_peace","NE","61"
"p_of_parents_working_parents_keep_jobs","NE","64.3"
"real_of_children_in_programs_2014","NE","57,201"
"real_of_children_would_be_enrolled_2014","NE","81,887"
"real_of_children_alone_2014","NE","71,983"
"intro_text","NE","Currently in its first year as one of the top 10 states for afterschool, Nebraska comes in at number eight.  Nebraska owes its place on the top 10 list primarily to the amount of time Nebraska children spend in afterschool programs—an average of nearly 10 hours per week.  The percentage of children in an afterschool program increased significantly, as did parent satisfaction with their child’s afterschool program’s cost and quality of care compared to 2009.  Additionally, an overwhelming percentage of Nebraska parents are satisfied with their child’s afterschool program overall (97 percent)."
"p_of_parents_agree_should_provide_snacks","NE","58"
"p_of_parents_programs_offers_snacks","NE","73"
"p_of_parents_satisfied_programs_snacks","NE","55"
"p_of_parents_satisfied_healthy_snacks","NE","88"
"p_of_parents_snacks_important","NE","65"
"p_of_parents_healthy_snacks_important","NE","63"
"p_of_parents_agree_should_provide_physical","NE","68"
"p_of_parents_programs_offers_physical","NE","72"
"p_of_parents_satisfied_programs_physical_amount","NE","89"
"p_of_parents_satisfied_programs_physical_variety","NE","67"
"p_of_parents_physical_important","NE","62"
"p_family_child_summer_2013","NE","19"
"p_family_child_summer_2008","NE","25"
"p_family_want_summer","NE","42"
"p_of_parents_agree_summer_academic","NE","58"
"avg_hr_per_day_summer","NE","4.67"
"avg_weeks_per_summer","NE","4.45"
"avg_dollars_per_week_summer","NE","244.1"
"p_of_parents_support_public_funding_summer","NE","84"
"p_of_parents_support_public_funding_summer_2009","NE","78"
"p_of_parents_report_stem_learning_opp","NE","64"
"p_of_parents_satisfied_stem_program","NE","41"
"p_of_parents_consider_stem_as_factor","NE","40"
"p_of_parents_agree_children_gain_stem","NE","52"
"p_of_parents_agree_should_provide_stem","NE","61"
"p_of_children_in_programs_2014","NV","23.5"
"p_of_children_in_programs_2009","NV","16"
"p_of_children_in_programs_2004","NV","13"
"avg_hr_per_week_in_programs","NV","6.74"
"avg_day_per_week_in_programs","NV","3.54"
"p_of_children_would_be_enrolled_2014","NV","39.1"
"p_of_children_would_be_enrolled_2009","NV","38"
"p_of_children_would_be_enrolled_2004","NV","38"
"p_of_children_alone_2014","NV","21.7"
"p_of_children_alone_2009","NV","28"
"p_of_children_alone_2004","NV","25"
"avg_hr_per_week_alone","NV","8.78"
"reason_1_not_enrolling_child","NV","Preference for alternative activities"
"reason_2_not_enrolling_child","NV","Lack of a safe way for child to get to and come home from afterschool programs"
"reason_3_not_enrolling_child","NV",""
"ans_1_type_activity","NV","Opportunities for physical activity"
"p_for_ans_1_type_activity","NV","90.3"
"ans_2_type_activity","NV","Homework assistance"
"p_for_ans_2_type_activity","NV","73.3"
"ans_3_type_activity","NV","Academic programs/clubs"
"p_for_ans_3_type_activity","NV","69.9"
"ans_4_type_activity","NV","Beverages, snacks and/or meals"
"p_for_ans_4_type_activity","NV","65.8"
"ans_5_type_activity","NV","Music or art"
"p_for_ans_5_type_activity","NV","65.4"
"p_of_parents_programs_excite_abt_learning","NV","59.7"
"p_of_parents_programs_help_child_gain_skills","NV","58.8"
"p_of_parents_programs_reduce_risky","NV","69"
"p_of_parents_support_public_funding_2014","NV","82.3"
"p_of_parents_support_public_funding_2009","NV","84"
"p_of_parents_receive_public_funding","NV","27.7"
"p_of_parents_satisfied_child_program_2014","NV","91.8"
"p_of_parents_satisfied_child_program_2009","NV","79"
"p_of_parents_satisfied_child_program_2004","NV","100"
"p_of_parents_satisfied_program_safe","NV","83.8"
"p_of_parents_satisfied_program_quality_of_care","NV","83.9"
"ans_1_select_program","NV","The hours meet my needs"
"p_for_ans_1_select_program","NV","86.8"
"ans_2_select_program","NV","Quality of care"
"p_for_ans_2_select_program","NV","85"
"ans_3_select_program","NV","Location is convenient"
"p_for_ans_3_select_program","NV","84.9"
"ans_4_select_program","NV","Knowledgeable and well-trained staff"
"p_for_ans_4_select_program","NV","83.9"
"ans_5_select_program","NV","Physical activity opportunities"
"p_for_ans_5_select_program","NV","81.7"
"p_of_parents_program_public_school_bldg","NV","80"
"ans_1_program_provider","NV","Afterschool program run by a public school"
"ans_2_program_provider","NV","Boys & Girls Club afterschool program"
"ans_3_program_provider","NV","After-School All-Stars"
"ans_4_program_provider","NV",""
"p_of_boys_program","NV","53.8"
"p_of_girls_program","NV","46.2"
"p_of_children_programs_qualify_federal_asst","NV","46.2"
"avg_dolllars_spent_per_week_program","NV","107.1"
"num_households_surveyed_2014","NV","200"
"num_children_screened_2014","NV","447"
"err_margin_households_surveyed_2014","NV","6.1"
"err_margin_children_screened_2014","NV","4.7"
"p_of_children_alone_2014_6_to_8","NV","11.7"
"p_of_children_alone_2014_9_to_12","NV","30"
"p_of_children_alone_2014_k_to_5","NV","0.6"
"p_of_children_in_programs_2014_6_to_8","NV","30.3"
"p_of_children_in_programs_2014_9_to_12","NV","12.1"
"p_of_children_in_programs_2014_k_to_5","NV","28.8"
"p_of_children_would_be_enrolled_2014_6_to_8","NV","33.3"
"p_of_children_would_be_enrolled_2014_9_to_12","NV","35.6"
"p_of_children_would_be_enrolled_2014_k_to_5","NV","45.6"
"is_top_ten","NV","FALSE"
"p_of_parents_working_parents_peace","NV","64.6"
"p_of_parents_working_parents_keep_jobs","NV","60.6"
"real_of_children_in_programs_2014","NV","106,228"
"real_of_children_would_be_enrolled_2014","NV","135,210"
"real_of_children_alone_2014","NV","98,091"
"intro_text","NV","Nevada has seen significant progress through the years in the percentage of children participating in afterschool programs.  Nevada’s participation in afterschool programs has grown from 13 percent in 2004 to 16 percent in 2009 to 24 percent of children in 2014.  Additionally, Nevada parents’ satisfaction with their child’s afterschool program overall increased from 79 percent in 2009 to 92 percent in 2014."
"p_of_parents_agree_should_provide_snacks","NV","65"
"p_of_parents_programs_offers_snacks","NV","66"
"p_of_parents_satisfied_programs_snacks","NV","79"
"p_of_parents_satisfied_healthy_snacks","NV","74"
"p_of_parents_snacks_important","NV","60"
"p_of_parents_healthy_snacks_important","NV","65"
"p_of_parents_agree_should_provide_physical","NV","72"
"p_of_parents_programs_offers_physical","NV","90"
"p_of_parents_satisfied_programs_physical_amount","NV","85"
"p_of_parents_satisfied_programs_physical_variety","NV","83"
"p_of_parents_physical_important","NV","82"
"p_family_child_summer_2013","NV","35"
"p_family_child_summer_2008","NV","15"
"p_family_want_summer","NV","49"
"p_of_parents_agree_summer_academic","NV","65"
"avg_hr_per_day_summer","NV","4.2"
"avg_weeks_per_summer","NV","5.34"
"avg_dollars_per_week_summer","NV","638.7"
"p_of_parents_support_public_funding_summer","NV","81"
"p_of_parents_support_public_funding_summer_2009","NV","83"
"p_of_parents_report_stem_learning_opp","NV","63"
"p_of_parents_satisfied_stem_program","NV","65"
"p_of_parents_consider_stem_as_factor","NV","63"
"p_of_parents_agree_children_gain_stem","NV","55"
"p_of_parents_agree_should_provide_stem","NV","65"
"p_of_children_in_programs_2014","NH","17.1"
"p_of_children_in_programs_2009","NH","16"
"p_of_children_in_programs_2004","NH","18"
"avg_hr_per_week_in_programs","NH","7.02"
"avg_day_per_week_in_programs","NH","3.06"
"p_of_children_would_be_enrolled_2014","NH","35.5"
"p_of_children_would_be_enrolled_2009","NH","32"
"p_of_children_would_be_enrolled_2004","NH","35"
"p_of_children_alone_2014","NH","38"
"p_of_children_alone_2009","NH","38"
"p_of_children_alone_2004","NH","23"
"avg_hr_per_week_alone","NH","9.43"
"reason_1_not_enrolling_child","NH","Preference for alternative activities"
"reason_2_not_enrolling_child","NH","Lack of a safe way for child to get to and come home from afterschool programs"
"reason_3_not_enrolling_child","NH",""
"ans_1_type_activity","NH","Opportunities for physical activity"
"p_for_ans_1_type_activity","NH","95.5"
"ans_2_type_activity","NH","Music or art"
"p_for_ans_2_type_activity","NH","79.5"
"ans_3_type_activity","NH","Homework assistance"
"p_for_ans_3_type_activity","NH","78.7"
"ans_4_type_activity","NH","Beverages, snacks and/or meals"
"p_for_ans_4_type_activity","NH","74.4"
"ans_5_type_activity","NH","Opportunities for reading or writing"
"p_for_ans_5_type_activity","NH","68.8"
"p_of_parents_programs_excite_abt_learning","NH","61.7"
"p_of_parents_programs_help_child_gain_skills","NH","66.5"
"p_of_parents_programs_reduce_risky","NH","72.3"
"p_of_parents_support_public_funding_2014","NH","87.4"
"p_of_parents_support_public_funding_2009","NH",NA
"p_of_parents_receive_public_funding","NH","35.9"
"p_of_parents_satisfied_child_program_2014","NH","96.3"
"p_of_parents_satisfied_child_program_2009","NH","87"
"p_of_parents_satisfied_child_program_2004","NH","77"
"p_of_parents_satisfied_program_safe","NH","92.8"
"p_of_parents_satisfied_program_quality_of_care","NH","95.6"
"ans_1_select_program","NH","Is a safe haven"
"p_for_ans_1_select_program","NH","95.2"
"ans_2_select_program","NH","My child enjoys the program"
"p_for_ans_2_select_program","NH","90.5"
"ans_3_select_program","NH","Quality of care"
"p_for_ans_3_select_program","NH","90.1"
"ans_4_select_program","NH","The hours meet parents' needs"
"p_for_ans_4_select_program","NH","88"
"ans_5_select_program","NH","Knowledgeable and well-trained staff"
"p_for_ans_5_select_program","NH","87.9"
"p_of_parents_program_public_school_bldg","NH","58.4"
"ans_1_program_provider","NH","Afterschool program run by a child care center"
"ans_2_program_provider","NH","Boys & Girls Club afterschool program"
"ans_3_program_provider","NH","Afterschool program run by a public school"
"ans_4_program_provider","NH",""
"p_of_boys_program","NH","52.5"
"p_of_girls_program","NH","47.5"
"p_of_children_programs_qualify_federal_asst","NH","41.1"
"avg_dolllars_spent_per_week_program","NH","82.8"
"num_households_surveyed_2014","NH","200"
"num_children_screened_2014","NH","426"
"err_margin_households_surveyed_2014","NH","6.3"
"err_margin_children_screened_2014","NH","4.8"
"p_of_children_alone_2014_6_to_8","NH","6.1"
"p_of_children_alone_2014_9_to_12","NH","30"
"p_of_children_alone_2014_k_to_5","NH",NA
"p_of_children_in_programs_2014_6_to_8","NH","15.8"
"p_of_children_in_programs_2014_9_to_12","NH","9.6"
"p_of_children_in_programs_2014_k_to_5","NH","23.6"
"p_of_children_would_be_enrolled_2014_6_to_8","NH","39.3"
"p_of_children_would_be_enrolled_2014_9_to_12","NH","24"
"p_of_children_would_be_enrolled_2014_k_to_5","NH","43.1"
"is_top_ten","NH","FALSE"
"p_of_parents_working_parents_peace","NH","81.7"
"p_of_parents_working_parents_keep_jobs","NH","83.8"
"real_of_children_in_programs_2014","NH","35,302"
"real_of_children_would_be_enrolled_2014","NH","60,756"
"real_of_children_alone_2014","NH","46,037"
"intro_text","NH","New Hampshire saw an increase in afterschool program participation, from 16 percent in 2009 to 17 percent in 2014, as well as an increase in the time children spend in an afterschool program, from an average of 5 hours per week in 2009 to 7 hours per week in 2014.  The state also continues to make gains in parent satisfaction with afterschool programs, where an overwhelming majority of parents—96 percent—report that they are satisfied with their child’s afterschool program, an increase from 77 percent in 2004 and 87 percent in 2009.    "
"p_of_parents_agree_should_provide_snacks","NH","77"
"p_of_parents_programs_offers_snacks","NH","74"
"p_of_parents_satisfied_programs_snacks","NH","81"
"p_of_parents_satisfied_healthy_snacks","NH","81"
"p_of_parents_snacks_important","NH","38"
"p_of_parents_healthy_snacks_important","NH","50"
"p_of_parents_agree_should_provide_physical","NH","87"
"p_of_parents_programs_offers_physical","NH","96"
"p_of_parents_satisfied_programs_physical_amount","NH","91"
"p_of_parents_satisfied_programs_physical_variety","NH","90"
"p_of_parents_physical_important","NH","62"
"p_family_child_summer_2013","NH","30"
"p_family_child_summer_2008","NH","29"
"p_family_want_summer","NH","49"
"p_of_parents_agree_summer_academic","NH","71"
"avg_hr_per_day_summer","NH","5.43"
"avg_weeks_per_summer","NH","5.1"
"avg_dollars_per_week_summer","NH","312.8"
"p_of_parents_support_public_funding_summer","NH","89"
"p_of_parents_support_public_funding_summer_2009","NH","74"
"p_of_parents_report_stem_learning_opp","NH","65"
"p_of_parents_satisfied_stem_program","NH","84"
"p_of_parents_consider_stem_as_factor","NH","39"
"p_of_parents_agree_children_gain_stem","NH","66"
"p_of_parents_agree_should_provide_stem","NH","73"
"p_of_children_in_programs_2014","NJ","16.4"
"p_of_children_in_programs_2009","NJ","14"
"p_of_children_in_programs_2004","NJ","12"
"avg_hr_per_week_in_programs","NJ","6.58"
"avg_day_per_week_in_programs","NJ","3.57"
"p_of_children_would_be_enrolled_2014","NJ","35.8"
"p_of_children_would_be_enrolled_2009","NJ","35"
"p_of_children_would_be_enrolled_2004","NJ","28"
"p_of_children_alone_2014","NJ","19"
"p_of_children_alone_2009","NJ","28"
"p_of_children_alone_2004","NJ","23"
"avg_hr_per_week_alone","NJ","8.46"
"reason_1_not_enrolling_child","NJ","Preference for alternative activities"
"reason_2_not_enrolling_child","NJ","Lack of a safe way for child to get to and come home from afterschool programs"
"reason_3_not_enrolling_child","NJ",""
"ans_1_type_activity","NJ","Homework assistance"
"p_for_ans_1_type_activity","NJ","80"
"ans_2_type_activity","NJ","Opportunities for physical activity"
"p_for_ans_2_type_activity","NJ","76.1"
"ans_3_type_activity","NJ","STEM"
"p_for_ans_3_type_activity","NJ","69.1"
"ans_4_type_activity","NJ","Beverages, snacks and/or meals"
"p_for_ans_4_type_activity","NJ","68.1"
"ans_5_type_activity","NJ","Opportunities for reading or writing"
"p_for_ans_5_type_activity","NJ","65.3"
"p_of_parents_programs_excite_abt_learning","NJ","58.7"
"p_of_parents_programs_help_child_gain_skills","NJ","64.4"
"p_of_parents_programs_reduce_risky","NJ","74"
"p_of_parents_support_public_funding_2014","NJ","82.4"
"p_of_parents_support_public_funding_2009","NJ","80"
"p_of_parents_receive_public_funding","NJ","20.8"
"p_of_parents_satisfied_child_program_2014","NJ","86.9"
"p_of_parents_satisfied_child_program_2009","NJ","95"
"p_of_parents_satisfied_child_program_2004","NJ","91"
"p_of_parents_satisfied_program_safe","NJ","88.1"
"p_of_parents_satisfied_program_quality_of_care","NJ","83.6"
"ans_1_select_program","NJ","Location is convenient"
"p_for_ans_1_select_program","NJ","84.9"
"ans_2_select_program","NJ","Quality of care"
"p_for_ans_2_select_program","NJ","84.7"
"ans_3_select_program","NJ","Is a safe haven"
"p_for_ans_3_select_program","NJ","83.1"
"ans_4_select_program","NJ","The hours meet parents' needs"
"p_for_ans_4_select_program","NJ","80.3"
"ans_5_select_program","NJ","Knowledgeable and well-trained staff"
"p_for_ans_5_select_program","NJ","79.6"
"p_of_parents_program_public_school_bldg","NJ","82.3"
"ans_1_program_provider","NJ","Afterschool program run by a public school"
"ans_2_program_provider","NJ","YMCA afterschool program"
"ans_3_program_provider","NJ","Boys & Girls Club afterschool program"
"ans_4_program_provider","NJ",""
"p_of_boys_program","NJ","42.4"
"p_of_girls_program","NJ","57.6"
"p_of_children_programs_qualify_federal_asst","NJ","43.1"
"avg_dolllars_spent_per_week_program","NJ","144.3"
"num_households_surveyed_2014","NJ","320"
"num_children_screened_2014","NJ","1636"
"err_margin_households_surveyed_2014","NJ","3.2"
"err_margin_children_screened_2014","NJ","2.5"
"p_of_children_alone_2014_6_to_8","NJ","14.1"
"p_of_children_alone_2014_9_to_12","NJ","32.5"
"p_of_children_alone_2014_k_to_5","NJ","5.8"
"p_of_children_in_programs_2014_6_to_8","NJ","17.3"
"p_of_children_in_programs_2014_9_to_12","NJ","6.9"
"p_of_children_in_programs_2014_k_to_5","NJ","23.5"
"p_of_children_would_be_enrolled_2014_6_to_8","NJ","33.8"
"p_of_children_would_be_enrolled_2014_9_to_12","NJ","34.3"
"p_of_children_would_be_enrolled_2014_k_to_5","NJ","38.3"
"is_top_ten","NJ","FALSE"
"p_of_parents_working_parents_peace","NJ","78.4"
"p_of_parents_working_parents_keep_jobs","NJ","72.6"
"real_of_children_in_programs_2014","NJ","231,279"
"real_of_children_would_be_enrolled_2014","NJ","422,067"
"real_of_children_alone_2014","NJ","267,945"
"intro_text","NJ","In 2009, the percentage of New Jersey children participating in an afterschool program increased to 14 percent from 12 percent in 2004, and the average time per week spent in an afterschool program reached 11 hours, among the highest in the nation that year.  In 2014, although New Jersey’s afterschool program participation moved up to 16 percent, it slipped further behind the national average, and the average time children spend in afterschool programs dipped to 6.58 hours per week, contributing to its fall out of the top 10 states for afterschool.  Unmet demand for afterschool programs continues to grow in New Jersey, increasing from 28 percent in 2004 to 36 percent in 2014. "
"p_of_parents_agree_should_provide_snacks","NJ","65"
"p_of_parents_programs_offers_snacks","NJ","68"
"p_of_parents_satisfied_programs_snacks","NJ","70"
"p_of_parents_satisfied_healthy_snacks","NJ","66"
"p_of_parents_snacks_important","NJ","57"
"p_of_parents_healthy_snacks_important","NJ","59"
"p_of_parents_agree_should_provide_physical","NJ","77"
"p_of_parents_programs_offers_physical","NJ","76"
"p_of_parents_satisfied_programs_physical_amount","NJ","66"
